employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,weight_kg_duplicate,target
6499,Grace R.,31,71553,2014-08-17,Marketing,FEMALE,BANGLADESH,Khulna,73.5,TRUE,Would buy again without hesitation.,,,0
6603,Grace O.,52,102031,11-24-2016,Finace,M,America,Rajshahi,83.1,FALSE,Very satisfied with the quality.,255.73,,0
18274,John Z.,60,100843,2022-10-21,Finace,,Bangladesh,Khulna,118,TRUE,...,373.1,,0
1085,Ira K.,24,85159,2013-12-11,HR,M,Bangladesh,Chittagong,120kg,FALSE,Delivery was fast and packaging great.,168.77,,0
14500,John L.,36,"$59,685",2022-05-28,Finace,F,U.K.,Chittagong,61.9,TRUE,Delivery was fast and packaging great.,474.57,,0
12508,Hasan K.,,87774,2016-03-10,hr,Woman,U.K.,Khulna,121.9,1,Delivery was fast and packaging great.,154.41,,1
17065,Frank X.,18,74804,2016-11-11,,female,usa,Khulna,102.6,FALSE,Product met all expectations.,198.44,,0
3529,Alice T.,32,,2019-10-22,SALES,MALE,U.S.A,Chittagong,68.1,FALSE,Very satisfied with the quality.,6.05,,1
12016,Diana M.,55,108592,2016-11-16,HR,Man,BANGLADESH,Khulna,92.6,TRUE,Product met all expectations.,478.86,,0
250,Frank U.,56,90635,2013-05-12,Sales,male,Bangladesh,Dhaka,107.3,0,Would buy again without hesitation.,342.24,,1
16479,Ira A.,39,104221,2019-01-20,Sales,MALE,United States,Rajshahi,50.5,1,Would buy again without hesitation.,276.95,,0
6024,Hasan F.,23,44772,2019-11-04,Finace,male,America,Rajshahi,125.3,FALSE,ok ok,302.35,,0
18817,Ira Z.,53,102244,2020-06-05,SALES,female,us,Sylhet,62.5,FALSE,Very satisfied with the quality.,317.36,,0
16010,Grace Q.,23,61246,2012/07/05,Finance,FEMALE,usa,Dhaka,98.8,FALSE,Very satisfied with the quality.,388.1,,0
1453,Grace J.,46,106907,2022-11-03,Sales,female,U.S.A,Chittagongg,65.2,FALSE,Very satisfied with the quality.,87.2,,0
19202,Grace W.,61,41850,2014-09-02,HR,Male,BANGLADESH,Slyhet,97.8,TRUE,Very satisfied with the quality.,$145.38,,0
2911,Alice S.,31,88711,2019-02-01,Finace,M,USA,Sylhet,50.2,0,"Excellent product, highly recommend!",22.27,,0
8597,John F.,62,77669,2019-02-01,SALES,male,BANGLADESH,Sylhet,128.3,FALSE,"Excellent product, highly recommend!",396.85,,0
5981,Diana E.,60,41156,2014-09-09,Finance,F,us,Sylhet,74kg,FALSE,bad,$78.03,,0
945,Bob A.,41,77313,2012-04-03,hr,female,BANGLADESH,Khulna,65.8,FALSE,Product met all expectations.,$151.15,,0
49,John L.,58,50810,2024-07-22,hr,FEMALE,U.K.,Dhakka,108.8,FALSE,"Excellent product, highly recommend!",83.46,,0
13596,Alice P.,57,81158,29-Sep-2016,Finance,F,us,Sylhet,108.5,FALSE,Product met all expectations.,401.52,,0
2417,Diana D.,34,52604,2016-07-13,Engineering,Male,UK,,118.4,FALSE,,142.85,,0
16094,Eve B.,62,81806,2017-12-07,Finace,Woman,United States,Chittagong,70.3,TRUE,Would buy again without hesitation.,321.32,,0
6213,Hasan Q.,30,"$77,025",2018-04-07,Mrketing,male,U.S.A,Chittagong,77,TRUE,Would buy again without hesitation.,337.33,,0
11384,Alice O.,,86613,,Sales,Male,U.K.,Rajshahi,104,TRUE,,444.08,,0
11909,Diana V.,41,47789,2014-02-20,engineering,M,us,Khulna,111.9,TRUE,Product met all expectations.,496.46,,0
3453,Eve H.,25,62659,2018-06-11,Marketing,F,usa,Chittagongg,129,TRUE,Delivery was fast and packaging great.,405.09,,0
13959,John H.,,9999999,2022-11-22,Marketing,Man,United States,Dhakka,55.2,FALSE,Good value for money.,-187,,0
679,Alice S.,54,33282,2021/07/20,,Male,usa,Dhaka,78.2,FALSE,"Excellent product, highly recommend!",100.6,,1
8847,Bob Q.,46,109817,2018-06-25,engineering,male,U.K.,Sylhet,53.7,TRUE,Good value for money.,320.08,,0
11964,Grace T.,55,89090,2015-08-26,SALES,male,United Kingdom,Sylhet,108kg,FALSE,,136.91,,0
1957,Hasan I.,42,89765,2023-11-15,Finance,Man,United Kingdom,Rajshahi,121,FALSE,Would buy again without hesitation.,,,0
10075,Grace D.,44,118506,2022-09-21,Finance,Man,BANGLADESH,Khulna,113.2,TRUE,na,192.94,,1
13007,Ira W.,58,54515,2020-06-20,Finace,Male,bd,Sylhet,98.4,FALSE,Very satisfied with the quality.,474.02,,1
12691,Bob U.,23,,2024-09-20,Sales,female,United States,Rajshahi,59.6,TRUE,Good value for money.,259.36,,0
5824,Charlie W.,50,67807,2017-03-29,SALES,,America,Dhakka,53.3,TRUE,Product met all expectations.,264.36,,0
2089,Alice U.,28,114661,2021-03-14,Finace,female,BD,Slyhet,123.8,TRUE,Delivery was fast and packaging great.,129.64,,0
11320,Eve P.,61,72620,2016-03-06,Mrketing,M,United Kingdom,Sylhet,107.9,TRUE,Would buy again without hesitation.,$33.77,,0
11929,John W.,32,76958,2017/11/06,HR,female,U.K.,Sylhet,86.4,TRUE,Would buy again without hesitation.,186.83,,0
12121,Grace A.,42,87395,2015-10-29,HR,male,BANGLADESH,Sylhet,58.1,TRUE,,13.31,,0
8075,Hasan I.,64,116574,2010-01-27,Mrketing,male,Bangladesh,Slyhet,52.2,TRUE,Product met all expectations.,340.53,,0
5519,Grace O.,44,-500,2016-04-13,hr,M,,Dhaka,87.9,FALSE,Would buy again without hesitation.,422.01,,0
7172,Diana E.,42,59064,27-Nov-2013,hr,MALE,us,Khulna,109.6,,Delivery was fast and packaging great.,343.66,,0
1004,John P.,62,116319,2010-04-11,Finace,Male,U.S.A,Rajshahi,60.4,TRUE,Product met all expectations.,-326,,0
1579,Eve K.,34,,2024-01-25,Sales,FEMALE,,Slyhet,98kg,FALSE,Good value for money.,-391,,0
15686,Charlie I.,26,32348,2024-11-15,Sales,F,BD,Khulna,105.5,TRUE,Very satisfied with the quality.,219.28,,0
13401,Diana R.,200,44491,2018-09-16,HR,Female,America,Dhaka,100.5,TRUE,Product met all expectations.,447.38,,1
13337,Bob G.,63,93262,2016-04-04,Engineering,Woman,BANGLADESH,Dhaka,120,TRUE,"Excellent product, highly recommend!",,,0
11618,Eve H.,26,67244,2024-01-17,Sales,,bd,Sylhet,121.7,0,Very satisfied with the quality.,193.64,,0
16936,Diana F.,65,61003,2023-06-02,engineering,male,United States,Khulna,53.9,FALSE,Delivery was fast and packaging great.,471.47,,0
17902,Alice I.,32,59650,2020/04/26,hr,FEMALE,bd,Rajshahi,100.4,FALSE,Would buy again without hesitation.,340.32,,0
7852,Alice X.,36,83430,05-Oct-2013,hr,FEMALE,,Rajshahi,93.6,1,ok,374.55,,0
13466,John V.,21,-500,2012-07-20,engineering,FEMALE,Bangladesh,Khulna,95.8,FALSE,Very satisfied with the quality.,$270.13,,0
16635,Eve F.,26,51320,2013-12-24,Engineering,Man,BANGLADESH,Sylhet,105.7,FALSE,Product met all expectations.,251.75,,0
48,Ira E.,0,101013,2013-08-28,engineering,MALE,BD,Dhakka,115kg,0,Good value for money.,318.78,,0
13167,John I.,22,103498,2020-11-21,engineering,female,us,Dhaka,48.5,FALSE,Very satisfied with the quality.,171.5,,0
7396,John N.,50,30614,2013-10-04,Sales,Man,Bangladesh,,129.6,FALSE,,484.89,,0
1491,Hasan D.,60,97526,2018-02-10,hr,male,USA,Khulna,61.6,FALSE,,259.99,,0
8084,Alice S.,22,103583,,Engineering,,BD,Chittagong,100kg,FALSE,bad,112.24,,0
7525,Eve C.,18,114059,2015-10-30,Mrketing,Man,U.S.A,Dhaka,122.9,FALSE,Would buy again without hesitation.,68.81,,0
18126,Frank K.,45,71451,2012-10-15,Mrketing,Male,us,Rajshahi,45.2,FALSE,Delivery was fast and packaging great.,390.44,,0
4349,Eve C.,48,107269,2011-05-16,Mrketing,Female,usa,Khulna,77.8,TRUE,Product met all expectations.,334.78,,0
10449,Eve B.,49,"$52,547",2013-01-18,Marketing,Male,USA,Dhaka,46.9,FALSE,Delivery was fast and packaging great.,39.29,,0
6658,Hasan T.,32,71777,04-Nov-2015,Engineering,Woman,BANGLADESH,Rajshahi,115.9,1,Very satisfied with the quality.,454.49,,0
7283,Grace H.,58,38734,2019-12-08,hr,Woman,Bangladesh,Sylhet,96.3,FALSE,Good value for money.,480.21,,0
19931,Frank M.,28,80526,2015-07-08,SALES,female,UK,Khulna,46.9,0,Would buy again without hesitation.,437.55,,0
9199,Hasan F.,31,32158,2015-07-28,Marketing,MALE,Bangladesh,Chittagongg,122.5,FALSE,"Excellent product, highly recommend!",20.07,,0
12895,Grace C.,51,95849,2011-01-01,Mrketing,female,usa,Sylhet,86kg,FALSE,Delivery was fast and packaging great.,213,,0
16626,Hasan C.,39,"$98,588",04-Mar-2018,engineering,FEMALE,United Kingdom,Slyhet,72.9,TRUE,Good value for money.,61.23,,0
5872,Ira O.,26,94765,2016-07-19,Finance,Female,Bangladesh,Rajshahi,84.8,FALSE,Delivery was fast and packaging great.,137.22,,0
16355,Grace A.,36,115296,2012-09-09,hr,Male,U.K.,Chittagong,71.9,TRUE,Product met all expectations.,311.67,,0
4093,Diana N.,36,91952,2012-05-09,engineering,Female,America,,75.7,FALSE,Would buy again without hesitation.,95.03,,0
10055,Bob E.,30,52760,2013-07-01,Sales,Male,America,Khulna,126.3,FALSE,Very satisfied with the quality.,37.23,,0
18335,Frank S.,18,93894,2016-01-05,SALES,MALE,bd,Chittagong,102.5,TRUE,Product met all expectations.,189.29,,0
18619,Alice J.,61,63196,14/10/2014,SALES,MALE,America,Chitagong,110.3,FALSE,Would buy again without hesitation.,28.71,,0
15397,Eve X.,52,100121,2013-10-22,,Man,BD,Khulna,115.5,TRUE,Good value for money.,239.81,,0
3,Ira H.,51,92138,2022-06-11,Finance,,America,Khulna,62kg,0,Very satisfied with the quality.,57.87,,0
15424,Diana R.,52,86047,2018-03-08,Engineering,Woman,BANGLADESH,Rajshahi,85.9,FALSE,Would buy again without hesitation.,66.36,,0
13661,Charlie T.,64,50196,2015-08-29,engineering,M,U.S.A,Rajshahi,97.3,1,Good value for money.,249.81,,0
5019,Bob J.,41,108292,2020-11-19,hr,Woman,usa,Khulna,48.8,TRUE,Product met all expectations.,$78.32,,0
2590,John H.,42,"$90,436",2017-11-27,Finace,MALE,U.S.A,Sylhet,62.5,FALSE,Delivery was fast and packaging great.,$393.67,,0
2314,Hasan T.,48,87976,2019-05-28,engineering,FEMALE,U.S.A,Khulna,128.2,FALSE,Product met all expectations.,304.52,,0
5992,Bob I.,57,102038,,Finance,MALE,,Rajshahi,45.6,TRUE,Very satisfied with the quality.,145.04,,0
14152,Eve A.,52,56265,2016/11/16,Mrketing,female,U.K.,Chittagong,120.7,FALSE,Good value for money.,$79.53,,0
12463,Diana I.,24,,2023-06-05,hr,female,BANGLADESH,Dhaka,57.5,FALSE,Very satisfied with the quality.,-39,,1
14789,Frank Y.,20,99024,2014-07-28,Engineering,FEMALE,United Kingdom,Rajshai,101.5,FALSE,"Excellent product, highly recommend!",238.17,,0
4060,Alice X.,23,98596,2024-10-01,Sales,Female,United States,Sylhet,90,FALSE,Very satisfied with the quality.,243.32,,1
18250,Frank D.,30,105097,2019-08-20,engineering,Man,Bangladesh,Sylhet,128.9,TRUE,Would buy again without hesitation.,90.87,,0
8902,Grace Z.,56,59116,2015-03-21,Mrketing,Man,usa,Rajshahi,102.1,TRUE,Would buy again without hesitation.,110.36,,0
1185,Diana H.,56,59079,2012-03-04,SALES,Male,United States,Chittagong,60kg,FALSE,Product met all expectations.,190.42,,0
2747,Charlie L.,40,60409,2015-11-25,engineering,FEMALE,United States,Sylhet,123,TRUE,"Excellent product, highly recommend!",405.17,,0
5758,Bob N.,22,95964,2024-01-16,hr,MALE,bd,Khulna,116.2,TRUE,Good value for money.,333.39,,0
16290,Grace R.,60,37882,08-15-2021,Sales,Woman,usa,Rajshai,60.7,TRUE,Product met all expectations.,291.44,,0
13110,Charlie X.,50,49466,2022-03-24,Sales,F,UK,Slyhet,93.4,FALSE,Delivery was fast and packaging great.,217.58,,0
16035,Hasan V.,53,-500,2017-03-01,Marketing,female,BANGLADESH,Chittagong,48.2,FALSE,Product met all expectations.,385.13,,0
5192,Grace Q.,35,113301,2022-12-19,HR,Man,BD,Rajshahi,83,FALSE,ok ok,249.14,,0
6979,Charlie Q.,44,-500,2014-03-06,Engineering,FEMALE,us,Slyhet,47.5,1,.,113.31,,0
2997,Hasan S.,62,112754,2014-07-02,Marketing,female,U.K.,Rajshahi,100,TRUE,"Excellent product, highly recommend!",158.09,,0
10229,Eve C.,63,30490,2023-12-11,hr,Man,,Sylhet,81.3,TRUE,Very satisfied with the quality.,420.64,,0
11759,Alice B.,20,109515,2011-09-30,Marketing,M,United States,Chittagong,91.9,FALSE,bad,183.62,,0
4128,Charlie V.,42,"$73,617",2013-10-27,hr,Man,U.S.A,Dhaka,96.9,FALSE,Delivery was fast and packaging great.,$59.31,,0
3727,Charlie M.,52,78634,2012-08-19,engineering,Woman,America,Slyhet,84.8,TRUE,Product met all expectations.,153.64,,0
8387,Alice Y.,30,50527,2020/11/25,SALES,female,UK,Chittagong,115kg,TRUE,Product met all expectations.,,,1
6839,Grace X.,,84114,2020-06-25,hr,F,USA,Chittagong,126.6,TRUE,Very satisfied with the quality.,434.74,,0
4130,Eve D.,,44735,2015-05-31,engineering,F,Bangladesh,Rajshai,108.4,FALSE,Delivery was fast and packaging great.,251.04,,0
541,Ira B.,38,31297,2017/08/10,Finace,Man,usa,Rajshahi,89kg,TRUE,N/A,$226.51,,1
6284,Bob E.,50,78938,2020-10-24,Mrketing,MALE,BD,Rajshahi,74.4,TRUE,ok ok,82.51,,0
1392,Frank I.,45,80966,,hr,male,bd,Khulna,49.5,FALSE,"Excellent product, highly recommend!",452.4,,0
19077,Diana E.,52,77816,2020-08-15,engineering,MALE,usa,Rajshahi,114.5,TRUE,Good value for money.,468.86,,0
1113,Frank H.,33,114401,2023-02-16,Finance,male,bd,Dhaka,104,TRUE,Very satisfied with the quality.,195.08,,0
7997,Eve S.,49,56282,2018-01-09,Sales,male,us,Dhaka,65.7,FALSE,good,18.22,,0
15222,Eve G.,61,52093,2011-10-05,Mrketing,M,usa,Chitagong,,FALSE,Very satisfied with the quality.,97.61,,0
14049,Ira K.,56,112921,2019-01-14,Finance,Female,Bangladesh,Chittagong,48.2,TRUE,Delivery was fast and packaging great.,201.2,,0
18873,Eve X.,34,59343,,engineering,M,BANGLADESH,Dhaka,50.4,TRUE,Very satisfied with the quality.,417.23,,0
12850,Ira Q.,51,37287,12/03/2010,Marketing,Female,U.K.,Chittagongg,124.9,FALSE,Very satisfied with the quality.,141,,0
2458,Ira B.,62,60399,2010-04-11,Finance,male,BD,Chittagong,118.1,TRUE,Would buy again without hesitation.,469.94,,0
13357,Grace M.,32,114893,2011-08-02,hr,Female,Bangladesh,Chittagongg,56.4,FALSE,Good value for money.,380.01,,0
17203,Grace J.,35,89819,2022-05-16,Marketing,MALE,usa,Chittagong,66.8,FALSE,,99.54,,0
18798,John Q.,58,103402,2018-06-08,SALES,female,usa,Sylhet,116.8,TRUE,Delivery was fast and packaging great.,63.6,,0
5679,Ira C.,21,74665,2016-06-04,Engineering,Female,Bangladesh,Dhaka,83.5,FALSE,Product met all expectations.,497.81,,0
11739,Charlie R.,41,117077,2014-11-19,engineering,Woman,BD,Chittagong,80.3,FALSE,,30.93,,0
6266,Hasan U.,,64846,2021-02-09,Engineering,male,BANGLADESH,Dhakka,49.4,TRUE,Delivery was fast and packaging great.,346.91,,0
13682,Diana K.,35,89922,2023-11-11,SALES,male,UK,Chitagong,112.6,FALSE,Delivery was fast and packaging great.,175.86,,0
2870,Eve U.,45,101753,2023-02-13,Sales,Female,U.K.,Dhakka,75.1,TRUE,Product met all expectations.,264.56,,0
8164,Diana I.,44,112673,2015-04-18,,Woman,USA,Khulna,101.1,TRUE,Good value for money.,276.06,,0
5522,John M.,45,107410,09-23-2015,engineering,FEMALE,America,Rajshai,101.9,1,,467.09,,0
7045,Grace A.,19,96566,05-Sep-2024,,M,us,Rajshahi,60.4,1,Delivery was fast and packaging great.,,,0
8245,Diana T.,50,107369,2024-02-21,engineering,Man,bd,Chittagong,45.5,FALSE,Product met all expectations.,293.92,,0
5094,John L.,37,"$88,217",2019-01-09,,Man,U.K.,Dhaka,124.1,FALSE,Good value for money.,412.3,,0
6779,Ira F.,57,84733,2012-03-26,Finace,Man,U.S.A,Chittagong,77kg,0,Product met all expectations.,86.12,,1
17023,Frank P.,27,63965,2012/05/03,engineering,Woman,usa,Khulna,90.2,TRUE,Delivery was fast and packaging great.,486.67,,0
8493,Frank G.,41,63465,2015-08-13,Finance,,BANGLADESH,Rajshahi,72.1,FALSE,Would buy again without hesitation.,$55.31,,0
4037,Grace Y.,,61289,2015-10-20,engineering,F,usa,Slyhet,48.8,FALSE,Delivery was fast and packaging great.,464.24,,1
1235,Charlie G.,62,67374,19-Aug-2013,engineering,FEMALE,BANGLADESH,Khulna,93.7,TRUE,,76.41,,0
2239,Frank M.,45,"$66,203",2011-08-21,SALES,FEMALE,BANGLADESH,Rajshahi,110.7,TRUE,"Excellent product, highly recommend!",71.04,,0
2686,Hasan R.,64,104766,2018-02-07,Sales,Female,UK,Sylhet,128.8,FALSE,Very satisfied with the quality.,454.56,,0
13556,Bob R.,18,47609,2023-09-04,Finance,F,United States,Dhaka,117,0,Product met all expectations.,61.21,,0
461,Bob T.,50,78015,2014-07-30,Finace,Woman,USA,,92,FALSE,Very satisfied with the quality.,191.85,,0
7657,Eve E.,54,53291,2021-04-21,Mrketing,Female,Bangladesh,Rajshahi,,FALSE,"Excellent product, highly recommend!",352.8,,0
11235,Diana I.,26,42562,2011-08-08,Finace,female,bd,Sylhet,123.2,TRUE,"Excellent product, highly recommend!",294.21,,0
14066,Charlie U.,43,68188,2011-07-23,Mrketing,Female,usa,Sylhet,74.7,TRUE,Product met all expectations.,127.86,,0
11499,Frank K.,42,38414,01-Oct-2020,Finance,,America,Dhka,124.4,TRUE,Delivery was fast and packaging great.,211.96,,0
15607,Eve M.,62,117391,2024-05-20,engineering,M,BD,,129.8,TRUE,Product met all expectations.,217.83,,0
14903,Hasan P.,51,115761,12-18-2013,Marketing,M,BANGLADESH,Rajshahi,118.6,TRUE,Very satisfied with the quality.,27.1,,0
4165,John M.,48,113670,2021/04/18,Finance,Woman,Bangladesh,Chittagong,67.1,FALSE,Very satisfied with the quality.,441.61,,0
18399,Frank R.,-5,60963,2012-04-06,SALES,,,Khulna,69.9,FALSE,bad,448.53,,0
6736,Charlie Q.,61,71850,2021-08-11,Mrketing,Male,United States,Sylhet,93.6,TRUE,Product met all expectations.,183.15,,0
7357,Hasan P.,23,93346,2011-02-15,SALES,Woman,BD,Dhaka,86.3,FALSE,,247.47,,1
2066,Diana A.,48,83926,29/03/2020,HR,MALE,BD,Khulna,80.6,TRUE,Would buy again without hesitation.,254.75,,0
12858,Grace L.,57,44766,2015-10-06,engineering,male,United Kingdom,Dhakka,121,FALSE,Delivery was fast and packaging great.,452.78,,0
5838,Eve C.,55,88144,2010-09-12,Engineering,female,United Kingdom,,117.3,FALSE,Product met all expectations.,153.34,,0
3220,Diana E.,42,92451,2014-11-23,hr,male,bd,Chittagong,106,FALSE,Would buy again without hesitation.,293.32,,0
9556,Bob A.,63,78797,2022-02-18,SALES,male,United Kingdom,Chittagong,75,TRUE,Good value for money.,495.64,,0
19723,Hasan O.,18,89578,,Marketing,Male,BD,Rajshahi,100,FALSE,Delivery was fast and packaging great.,81.07,,0
15736,Hasan F.,57,30127,2024-09-13,Mrketing,Male,BANGLADESH,Sylhet,102.9,FALSE,...,498.61,,0
5514,Alice R.,38,,2023-06-15,engineering,male,America,Slyhet,73.9,TRUE,Delivery was fast and packaging great.,202.34,,0
12086,Hasan W.,27,43825,2014-02-03,Engineering,female,U.S.A,Sylhet,,TRUE,ok ok,276.06,,0
8156,Alice Z.,31,71414,2024-10-06,HR,Male,Bangladesh,Sylhet,87.5,FALSE,Would buy again without hesitation.,243.84,,0
16402,John K.,27,101010,2019-05-14,HR,Man,America,Dhakka,106kg,TRUE,"Excellent product, highly recommend!",136.59,,0
16647,Diana L.,27,82719,2023-01-08,hr,female,U.S.A,Dhaka,107.8,FALSE,Delivery was fast and packaging great.,12.82,,0
15559,Frank I.,59,54120,2016-11-12,Marketing,M,us,Sylhet,86.8,TRUE,Good value for money.,23.4,,0
3079,Diana V.,51,67808,2011-01-05,Finance,F,usa,Rajshahi,87.5,1,"Excellent product, highly recommend!",256.64,,0
14769,Grace F.,30,31633,2014-10-29,,Woman,America,Dhka,125,TRUE,bad,12.14,,0
9145,Ira D.,33,9999999,2014-04-13,Finance,male,America,Sylhet,80.8,TRUE,Product met all expectations.,91.95,,0
17580,Hasan K.,48,99603,2012-04-19,engineering,female,U.K.,Dhaka,53.3,TRUE,"Excellent product, highly recommend!",291.26,,0
6415,Frank H.,38,,2021-05-19,Engineering,F,BANGLADESH,Sylhet,122.1,TRUE,Very satisfied with the quality.,348.92,,0
810,Alice P.,46,59694,,HR,Female,USA,Rajshahi,81.3,FALSE,"Excellent product, highly recommend!",312.02,,0
16448,Charlie B.,42,66436,2016-07-05,SALES,Man,U.S.A,Sylhet,66.6,FALSE,fine,233.19,,0
1086,Alice C.,31,59968,2020-11-30,Sales,Woman,BANGLADESH,Chittagong,80.7,0,Very satisfied with the quality.,199.48,,0
6531,Bob F.,42,91144,2019-09-03,HR,M,UK,Rajshahi,108kg,FALSE,Would buy again without hesitation.,447.06,,0
10370,Hasan O.,51,"$51,892",2015-07-01,Finace,M,BANGLADESH,Dhaka,84.8,TRUE,Would buy again without hesitation.,215.78,,0
8958,Hasan I.,58,84282,2019-08-07,Mrketing,Female,BD,Rajshahi,46.6,TRUE,Good value for money.,346.34,,0
1604,Alice X.,52,119673,2014-08-09,Finace,male,BANGLADESH,,102.5,TRUE,"Excellent product, highly recommend!",272.79,,0
12452,Bob G.,27,96205,26-May-2011,Finance,Female,us,Khulna,90.3,TRUE,"Excellent product, highly recommend!",,,0
17277,Diana E.,,103459,2016-01-20,Finance,MALE,U.S.A,Slyhet,75.1,TRUE,"Excellent product, highly recommend!",492.76,,0
436,Charlie S.,29,54295,2020-08-27,Mrketing,M,us,Chittagongg,75.9,FALSE,Product met all expectations.,265.25,,0
4712,Ira D.,44,32663,2019-01-30,Finance,FEMALE,us,Sylhet,58kg,TRUE,Product met all expectations.,100.27,,0
10956,Bob V.,,43710,2015-05-19,hr,FEMALE,bd,Khulna,100.7,TRUE,Very satisfied with the quality.,244.79,,0
18315,John T.,28,63469,14/12/2015,engineering,Woman,us,Dhaka,125.3,0,fine,30.9,,0
18915,Bob Y.,20,61398,30/03/2019,Sales,Woman,United States,Chittagong,110.8,TRUE,Product met all expectations.,313.33,,0
13899,Charlie O.,,118396,2017-10-13,Engineering,Woman,bd,Dhaka,126,TRUE,"Excellent product, highly recommend!",77.66,,1
3744,Bob P.,52,119209,2019-08-22,HR,,BD,Khulna,49.2,FALSE,"Excellent product, highly recommend!",347.27,,0
7489,Ira S.,34,43933,2014-06-27,SALES,F,us,Dhka,109.1,,Would buy again without hesitation.,403.36,,0
5247,Charlie P.,56,64346,2012-06-01,Mrketing,Female,BD,Dhka,88.8,TRUE,...,83.56,,0
1855,Ira K.,40,"$40,989",2013-01-30,engineering,female,U.S.A,Sylhet,76.2,TRUE,Good value for money.,281.02,,0
1806,Grace C.,42,40291,2023/11/14,Finace,FEMALE,USA,Rajshahi,64.5,FALSE,Product met all expectations.,164.16,,0
19823,Ira P.,20,108757,2017-11-14,HR,M,U.S.A,Chittagong,112.9,TRUE,Good value for money.,,,0
1122,Diana L.,22,107326,2020-05-21,engineering,FEMALE,UK,Khulna,110kg,TRUE,Very satisfied with the quality.,159.56,,1
16953,Bob R.,61,88158,2010-03-21,hr,Female,usa,Dhaka,85.8,TRUE,Would buy again without hesitation.,476.28,,0
7819,Bob G.,63,35712,03-Aug-2010,hr,male,U.S.A,Dhaka,108.1,FALSE,Delivery was fast and packaging great.,246.11,,0
13404,Charlie U.,42,81474,2013-12-02,hr,Female,United States,Chittagong,62.6,TRUE,"Excellent product, highly recommend!",52.61,,0
12345,Ira R.,40,60088,2024-03-12,Finance,MALE,USA,Rajshahi,55.3,,Good value for money.,421.37,,0
6766,Charlie J.,63,47000,10/04/2018,engineering,FEMALE,BD,,86kg,FALSE,Product met all expectations.,289.47,,0
10885,Alice F.,63,89431,2010-11-18,Finace,Female,,Sylhet,64.9,FALSE,"Excellent product, highly recommend!",42.55,,0
17511,Bob N.,45,102069,2022-03-08,HR,male,United Kingdom,Chittagong,111.8,TRUE,Would buy again without hesitation.,$333.06,,0
11704,Bob I.,-5,74086,,engineering,Male,BD,Khulna,72.3,FALSE,"Excellent product, highly recommend!",277.82,,0
3783,Diana G.,53,111865,2019/10/08,Mrketing,Male,us,Chitagong,104.4,FALSE,Very satisfied with the quality.,147.77,,0
